书名,作者,出版社,出版日期,书价,评论热度
一个陌生女人的来信,[奥]斯台芬·茨威格, 上海译文出版社,2007.0,20.0,74739.0
三生三世 十里桃花,唐七公子, 沈阳出版社,2015.0,26.8,74646.0
基督山伯爵,大仲马, 上海译文出版社,1991.0,43.9,74268.0
兄弟（上）,余华, 上海文艺出版社,2005.0,16.0,73029.0
灿烂千阳,[美]卡勒德·胡赛尼, 上海人民出版社,2007.0,28.0,72966.0
了不起的盖茨比,菲茨杰拉德, 人民文学出版社,2004.0,12.0,72251.0
偷影子的人,[法]马克·李维, 湖南文艺出版社,2012.0,29.8,72177.0
月亮与六便士,[英]威廉·萨默塞特·毛姆, 浙江文艺出版社,2017.0,39.8,70120.0
沉默的大多数,王小波, 中国青年出版社,1997.0,27.0,69128.0
笑傲江湖（全四册）,金庸, 生活·读书·新知三联书店,1994.0,76.8,68758.0
情书,[日]岩井俊二, 天津人民出版社,2004.0,18.0,66850.0
巴黎圣母院,[法]雨果, 人民文学出版社,1982.0,22.5,66805.0
摆渡人,[英]克莱儿·麦克福尔, 百花洲文艺出版社,2015.0,36.0,66761.0
福尔摩斯探案全集（上中下）,[英]阿·柯南道尔, 1981-8,0.0,68.0,66698.0
羊脂球,[法]莫泊桑, 北京燕山出版社,2007.0,13.5,66461.0
乌合之众,[法]勒庞, 中央编译出版社,2011.0,16.0,66333.0
小时代1.0折纸时代,郭敬明, 长江文艺出版社,2011.0,29.8,66069.0
皮囊,蔡崇达, 天津人民出版社,2014.0,39.8,65834.0
东方快车谋杀案,[英]阿加莎·克里斯蒂, 人民文学出版社,2006.0,18.0,65078.0
无人生还,[英]阿加莎·克里斯蒂, 人民文学出版社,2008.0,19.0,64741.0
当我谈跑步时我谈些什么,[日]村上春树, 南海出版公司,2009.0,25.0,63035.0
民主的细节,刘瑜, 上海三联书店,2009.0,25.0,62748.0
神雕侠侣,金庸, 生活·读书·新知三联书店,1994.0,76.8,62346.0
红玫瑰与白玫瑰,张爱玲, 花城出版社,1996.0,12.8,60632.0
呐喊,鲁迅, 人民文学出版社,1973.0,0.36,60214.0
爱你就像爱生命,王小波, 上海锦绣文章出版社,2008.0,18.0,59482.0
肖申克的救赎,[美]斯蒂芬·金, 人民文学出版社,2006.0,29.9,59389.0
我不喜欢这世界，我只喜欢你,乔一, 湖南少年儿童出版社,2008.0,29.8,58090.0
1Q84 BOOK 2,[日]村上春树, 南海出版公司,2010.0,36.0,58046.0
动物农场,[英]乔治·奥威尔, 上海译文出版社,2007.0,10.0,57544.0
鬼吹灯之精绝古城,天下霸唱, 安徽文艺出版社,2006.0,25.0,57510.0
一座城池,韩寒, 二十一世纪出版社,2004.0,19.9,56498.0
幻夜,[日]东野圭吾, 南海出版公司,2009.0,28.0,55825.0
安徒生童话故事集,[丹麦]安徒生, 人民文学出版社,1997.0,25.0,55271.0
华胥引（全二册）,唐七公子, 现代出版社,2011.0,39.8,54983.0
喜宝,亦舒, 新世界出版社,2014.0,22.0,54899.0
素年锦时,安妮宝贝, 作家出版社,2007.0,27.0,54525.0
蔡康永的说话之道,蔡康永著, 沈阳出版社,2006.0,25.0,54280.0
陪安东尼度过漫长岁月,安东尼, 长江文艺出版社,2008.0,18.0,54169.0
城南旧事,林海音文, 中国青年出版社,2003.0,16.0,54087.0
他的国,韩寒, 万卷出版公司,1999.0,25.0,53915.0
这些都是你给我的爱,文：安东尼, 长江文艺出版社,2010.0,24.8,53845.0
明朝那些事儿（1-9）,当年明月, 中国海关出版社,2009.0,358.2,53678.0
钢铁是怎样炼成的,[苏]尼·奥斯特洛夫斯基, 译林出版社,1996.0,20.0,52947.0
巨人的陨落,[英]肯·福莱特, 江苏凤凰文艺出版社,2016.0,129.8,52890.0
半生缘,张爱玲, 北京十月文艺出版社,2006.0,28.0,52707.0
西决,笛安, 长江文艺出版社,2007.0,22.8,52667.0
麦田里的守望者,[美国]J.D.塞林格, 译林出版社,2007.0,28.0,52608.0
一个人的朝圣,[英]蕾秋·乔伊斯, 北京联合出版公司,2013.0,32.8,52393.0
阿Q正传,鲁迅著, 上海书店出版社,2003.0,14.5,52016.0
且听风吟,[日]村上春树, 上海译文出版社,2001.0,11.8,50273.0
这些人，那些事,吴念真, 译林出版社,2011.0,28.0,50072.0
梦里花落知多少,三毛, 北京十月文艺出版社,2007.0,28.0,50039.0
一只特立独行的猪,王小波, 北方文艺出版社,2006.0,18.8,48422.0
朝花夕拾,鲁迅, 人民文学出版社,1972.0,0.25,47816.0
射雕英雄传（全四册）,金庸, 生活·读书·新知三联书店,1999.0,47.0,47201.0
